abstract	location_label	topic_label
"Background & para;& para;Taiwan had been considered rabies free since 1961, until a newly established wildlife disease surveillance program identified rabies virus transmission within the Formosan ferret-badger (Melogale moschata subaurantiaca) in 2013. Ferret-badgers occur throughout southern China and Southeast Asia, but their ecological niche is not well described.& para;& para;Methodology/Principle findings & para;& para;As an initial feasibility assessment for potential rabies control measures, field camera trapping and pen assessment of 6 oral rabies vaccine (ORV) baits were conducted in Taiwan in 2013. 46 camera nights were recorded; 6 Formosan ferret-badgers and 14 non-target mammals were sighted. No baits were consumed by ferret-badgers and 8 were consumed by non-target mammals. Penned ferret-badgers ingested 5 of the 18 offered baits. When pen and field trials were combined, and analyzed for palatability, ferret-badgers consumed 1 of 9 marshmallow baits (11.1%), 1 of 21 fishmeal baits (4.8%), 0 of 3 liver baits, and 3 of 3 fruit-flavored baits. It took an average of 261 minutes before ferret-badgers made oral contact with the non-fruit flavored baits, and 34 minutes for first contact with the fruit-based bait. Overall, ferret-badgers sought out the fruit baits 8 times faster, spent a greater proportion of time eating fruit baits, and were 7.5 times more likely to have ruptured the vaccine container of the fruit-based bait.& para;& para;Conclusions/Significance & para;& para;Ferret-badgers are now recognized as rabies reservoir species in China and Taiwan, through two independent 'dog to ferret-badger' host-shift events. Species of ferret-badgers can be found throughout Indochina, where they may be an unrecognized rabies reservoir. Findings from this initial study underscore the need for further captive and field investigations of fruit-based attractants or baits developed for small meso-carnivores. Non-target mammals' competition for baits, ants, bait design, and dense tropical landscape represent potential challenges to effective ORV programs that will need to be considered in future studies."	USA	HumanWildlife
"Globally, anthrax outbreaks pose a serious threat to people, livestock, and wildlife. Furthermore, environmental change can exacerbate these outbreak dynamics by altering the host-pathogen relationship. However, little is known about how the quantitative spatial dynamics of host movement and environmental change may affect the spread of Bacillus anthracis, the causative agent of anthrax. Here, we use real-time observations and high-resolution tracking data from a population of common hippopotamus (Hippopotamus amphibius) in Tanzania to explore the relationship between river hydrology, H. amphibius movement, and the spatiotemporal dynamics of an active anthrax outbreak. We found that extreme river drying, a consequence of anthropogenic disturbances to our study river, indirectly facilitated the spread of B. anthracis by modulating H. amphibius movements. Our findings reveal that anthrax spread upstream in the Great Ruaha River (similar to 3.5 km over a 9-day period), which followed the movement patterns of infected H. amphibius, who moved upstream as the river dried in search of remaining aquatic refugia. These upstream movements can result in large aggregations of H. amphibius. However, despite these aggregations, the density of H. amphibius in river pools did not influence the number of B. anthracis-induced mortalities. Moreover, infection by B. anthracis did not appear to influence H. amphibius movement behaviors, which suggests that infected individuals can vector B. anthracis over large distances right up until their death. Finally, we show that contact rates between H. amphibius- and B. anthracis-infected river pools are highly variable and the frequency and duration of contacts could potentially increase the probability of mortality. While difficult to obtain, the quantitative insights that we gathered during a real-time anthrax outbreak are critical to better understand, predict, and manage future outbreaks."	USA	Ecology
"Large rivers like the Elbe or the Weser are periodically entered by harbor porpoises of the North Sea. They may even move 97 km upstream to the port of Hamburg, where their presence is highest in spring. This migration is believed to be related to important anadromous prey species travelling upstream for spawning. An acoustic flowmeter in the port of Hamburg emits signals in the hearing range of harbor porpoises. The pulses have a duration of 0.2 ms, a peak frequency of 28 kHz, a source level of 210 dB re 1 mu Pa and an inter-pulse interval of 4.2 s. The signals are continuously emitted from both sides of the river at a location where the river is 400 m wide. We evaluated the potential of these signals to induce temporary threshold shift (TTS) in harbor porpoise hearing. Hearing tests with a harbor porpoise in human care were conducted to determine TTS onset. We modelled the acoustic field based on underwater noise measurements. The acoustic flowmeters emit pulses in a highly directional beam with a source level high enough for inducing TTS in harbor porpoises by a single exposure up to a distance of approximately 72 m. The received cumulative sound exposure levels for harbor porpoises travelling along the flowmeters are mainly dependent on the timing and distance to the sound source. Accordingly, a close approach to the flowmeter at the time of transmission should be prevented. This could be the case, if vessels force harbor porpoises to displace closer to the flowmeters. We therefore suggest to decrease acoustic flowmeter source levels. This case study emphasizes the need for a mandatory authorization process prior to the use of underwater sound for any purpose with potential effects on aquatic life. Such an authorization process should carefully consider potential effects for target and non-target species."	NonUS	EthicsPolicy
"Roosting is an important component of wild turkey (Meleagris gallopavo; turkey) ecology as roosts provide security from predators and inclement weather. Males call (gobble) from roosts during the reproductive season, and roost locations are important for maximizing access to females and transmission of calls across the landscape, while also minimizing predation risk. Spring hunting of male turkeys occurs during the reproductive season, and hunting activity influences male behaviors and calling. Because roost sites are important for wild turkey ecology, we evaluated roost site selection and fidelity of male turkeys relative to land cover types, vegetative characteristics, and the presence of hunting activity during 2017-2018 in Georgia, USA. Prior to onset of hunting, males selected roosts nearest to hardwood and pine (Pinus spp.) forests. Roost site fidelity was low and distances between roosts were large. After onset of hunting, males selected pine forests less and exhibited greater plasticity in roost selection while fidelity remained minimal, suggesting that males may have altered selection to mitigate risk from hunting while maintaining the strategy of moving about their ranges and roosting at different sites on consecutive nights. Future research should examine potential effects of hunting-induced shifts in resource selection on other aspects of male turkey behavior and ecology. (c) 2019 The Wildlife Society."	USA	Ecology
"Presence of humans and domestic animal species are a common threat to wildlife in protected areas. Wildlife habitat has a particularly strong human presence in the Mediterranean Basin where human population density is high. However, relatively little is known on the interaction and impact of humans on wildlife in much of the Mediterranean region. In this study, we recorded the interactions among several important wildlife species, humans, and domestic animals in a forested Mediterranean landscape in southern Turkey using camera traps. We sought to understand how the presence of humans and domestic animals such as feral dogs (Canis familiaris) and livestock impacted the behavior of the main wildlife species in the region such as caracal (Caracal caracal), fallow deer (Dama dama), and wild boar (Sus scrofa). A total of 4209 photographs from 9 species were captured over a 154-week period. Data were analyzed for both monthly and daily co-occurrences among species using multivariate and univariate techniques. Cluster analyses revealed that while human, wild boar, and fallow deer co-occupied the same area and time, other wildlife species avoided areas used by humans, feral dogs, and livestock which tended to co-occur. Regression analyses revealed that caracal inhabited the same areas as wild boar and European hare (Lepus europaeus), but avoided areas visited by humans and fallow deer on a daily basis. These results suggest that while humans and feral dogs inhabit the same area as wildlife in the region, wildlife species including top predators such as caracal avoid localities recently visited by humans and feral dogs. As a consequence, increasing human activity and feral dog populations has the potential to impact foraging, resting, and hunting behavior of local wildlife and poses a threat to the continued existence of these species in the area."	NonUS	HumanWildlife
"Species with biological traits favourable to long-distance marine larval dispersal might show a phylogeographic structuring over broad regions, even when they are genetically connected within smaller scales. Here, we evaluated this hypothesis by using the widespread amphidromous shrimp Atya scabra, predicting a genetic discontinuity across biogeographical barriers throughout the Western Gulf of Mexico (WGM), Caribbean Sea (CS), south-western Atlantic (SWA) and eastern Atlantic (EA). Using cytochrome oxidase subunit 1 (COI) and 16S ribosomal unit (16S) gene fragments, we did a phylogeographic assessment and genetic characterisation with Bayesian clustering, AMOVA, haplotype networks and demographic analyses. As predicted, three discrete genetic groups, corresponding to the regions WGM, CS and EA, were uncovered by COI, as well an unpredicted SWA+CS group. The 16S fragment detected a low genetic variation, probably owing to a recent lineage differentiation, which was estimated by the COI molecular clock. We evaluated the role of the biological traits of A. scabra, as well as the consequences of Panama Isthmus closure and Pleistocene glaciation cycles in the lineage isolation of WGM and EA, as well as the genetic connectivity shown within regions and between CS and SWA. Our results highlighted that amphidromous species genetically connected over large scales should be genetically characterised in their wide distribution to provide more comprehensive systematics and to assist decision-making in biological conservation."	NonUS	Genetics
"We examined spatial patterns in diet, trophic niche width and niche overlap for chum, pink and sockeye salmon across the North Pacific during 1959?1969. This is a baseline period before major hatchery enhancement occurred coinciding with a negative phase of the Pacific Decadal Oscillation. Large-scale (between regions) and fine-scale (within regions) spatial and interspecies differences were apparent. In the Western Subarctic, all species tended to consume zooplankton. In the Bering Sea, chum consumed zooplankton, while sockeye and pink alternated between zooplankton and micronekton. In the Gulf of Alaska/Eastern Subarctic, chum and sockeye specialized on gelatinous zooplankton and cephalopod prey, respectively, while pink consumed a mixture of zooplankton and micronekton. The highest diet overlap across the North Pacific was between pink and sockeye (46.6%), followed by chum and pink (31.8%), and chum and sockeye (30.9%). Greater diet specialization was evident in the Gulf of Alaska/Eastern Subarctic compared to the Western Pacific. Generally, species had higher niche width and overlap in areas of high prey availability, and this was particularly evident for chum salmon. In addition to the large-scale trophic patterns, our data revealed novel fine-scale spatial patterns, including latitudinal, onshore-offshore, and cross-gyre gradients. Our results showed that pink tended to be more generalist consumers, and their diets may be a better reflection of overall prey presence and abundance in the environment. Conversely, chum and sockeye tended to be more specialist consumers, and their diets may provide a better reflection of interspecies dynamics or prey availability. This study provides a baseline for comparison with current and future changes in salmon marine ecology and North Pacific ecosystems. Finally, we identify two important data gaps that need addressing, that of improved taxonomic resolution diet data for Pacific salmon and focused research on sub-mesoscale oceanographic features that may play an important role in salmon health and productivity."	NonUS	Ecology
"The results of investigation of the bottom sediments sampled in the Balaklava Bay in February and June, 2015 are represented. The grain-size distribution, and the organic carbon (C-org) and calcium carbonate (CaCO3) content have been studied. Noticeable change in the fractions' content that took place in course of the last 10 years is revealed. To a greater extent it is referred to the sand or gravel material, its quantitative characteristics and the features of its spatial distribution. As for the silt material in the Balaklava Bay sediments, its content, according to all the samples, grew, on the whole, from 58 to 66 %. The changes in the organic carbon abundance that took place in the bottom sediments in 2005-2015 were comparatively analyzed both for the Balaklava Bay and other water areas of the Heraklion Peninsula. A general tendency of the organic matter abundance to decrease in the bottom sediments of the bay was noted; it is treated as a result of some alteration in the anthropogenic pressure. The organic carbon mean concentration in the Balaklava Bay bottom sediments is two to three times lower than that in the other bays of the region which were subjected to permanent anthropogenic pressure. However, pollution of the Balaklava Bay with the untreated municipal, storm and industrial sewages leads to formation of the local bottom zones where the sediments are saturated with organic matter (C-org>2.5 %). Such phenomena can exert a negative impact on the state of the marine environment ecology including, in particular, structural deviations in the macrozoobenthos community. Further decrease of the organic matter abundance is possible only in case the pollution basic sources are either completely removed or, at least, their influence is reduced. Such a condition is indispensable due to its extreme importance for implementing the state plan to turn the Balaklava Bay into a recreational area and a yacht marina."	NonUS	Ecology
"The spatially and temporally explicit mapping of critical natural capital (CNC) is an essential step toward supporting policies and practices for improving the CNC-derived human well-being. The Qinghai-Tibetan Plateau (QTP) is a natural habitat for wildlife and a critical water tower region for Asia. It is ecologically fragile, but still provides abundant CNC. The effectiveness of key protected areas in the QTP in terms of representing CNC remains largely unknown. In this study, we adapted a multi-criteria biophysical approach for CNC mapping from 2000 to 2015 that quantitatively integrates four CNC functional components, including carbon capture, soil protection, water and nutrient retention, and habitat provision. The CNC priority conservation areas and their conservation effectiveness are quantified based on CNC assessment and mapping. The results showed that: (1) CNC conservation priority areas accounted for 37.96% of the QTP, but only about one fifth accommodated in the national nature reserves (NNRs); (2) compared with the non-reserve areas and the whole QTP, NNRs have a better promotion effect on CNC with spatial heterogeneity; and (3) 60.81% of the core zones of NNRs showed a significant increase in CNC, which was 7.44% and 5.13% higher than those of the buffer area and the experimental area, respectively. The study contributes to the policy goals on the spatial optimization of nature conservation. Our method for assessing the CNC functional components can be easily adapted to broad spatial scales, as well as for tasks such as conservation priority-setting or effectiveness assessments for protected areas with CNC as key targets."	NonUS	Conservation
"This study isolated and characterized a new phage infecting the marine photoheterotrophic bacterium Citromicrobium bathyomarinum, which fills the gap in research on phages targeting this ecologically important species. The phage vB_CbaS-RXM (RXM) has a dsDNA genome with a length of 104,206 bp and G+C content of 61.64%. The taxonomic analysis found a close evolutionary relationship between RXM, Erythrobacter phage vB_EliS-L02, and Sphingobium phage Lacusarx, and we propose that RXM represents a new species of the Lacusarxvirus genus. A one-step growth curve revealed a burst size of 75 plaque-forming units (PFUs) per cell in a 3-hour infection cycle. The lysis profile of RXM showed an intraspecific lethal rate of 26.3% against 38 citromicrobial strains. RXM contains 15 auxiliary metabolic genes (AMGs) related to diverse cellular processes, such as putative metabolic innovation and hijacking of host nucleotide metabolism to enhance its biosynthetic capacity. An in-depth analysis showed that phage functional genes strongly rely on the host for translation, while the translation of unique phage genes with less host dependency may be complemented by phage tRNA. Overall, our study investigated the infection kinetics, genetic traits, taxonomy, and predicted roles of AMGs and tRNA genes of this new phage, which contributes to a better understanding of phage diversity and phage-bacterium interactions."	NonUS	Ecology
"Cities are not often considered priority areas for threatened mammals; however, recent research suggests that urban areas may be important for water vole (Arvicola amphibius) conservation. To establish the potential importance of cities in supporting water vole populations, we used National Biodiversity Network (NBN) Atlas data to examine the occurrence of water voles within the United Kingdom (UK). Water voles were recorded in 28 out of 64 official UK cities in the last decade (2010-2018), and rivers and streams within parks, sports grounds, and urban reserves were the most important habitat types. In total, we found 497 records of water vole sightings within official cities, representing 5.0% of all records for this species in the NBN Atlas. Our results show that water voles are indeed found within many cities, suggesting that urban populations of water voles are more common in the UK than previously recognised. We therefore recommend that the importance of these urban populations for conservation of this species should be further established."	NonUS	Conservation
"The Cheboygan River, Michigan, is the only tributary to the upper Great Lakes where sea lamprey (Petromyzon marinus) are known to complete their entire life cycle. The Upper and Lower reaches are separated by the Cheboygan Lock and Dam located about 2 km from Lake Huron. In the Upper River, the Pigeon, Sturgeon, and Maple Rivers provide nursery habitat for larval sea lamprey. Burt and Mullett Lakes provide feeding grounds for juvenile sea lamprey. Low levels of immigration from Lake Huron occur when adult sea lamprey bypass the lock and dam. Lampricide treatment in the Pigeon, Sturgeon, and Maple Rivers began in 1966 and 15 treatments have been conducted to date at a combined cost of $435,000 USD per treatment. Treatments may become more difficult due to recent dam removals in the Pigeon (2016) and Maple Rivers (2018) that expanded habitat available to valued fishes and sea lamprey. At present, the landlocked population is less than 200 spawning adults, and those adults are generally smaller and may spawn earlier in the spring than adult sea lamprey from Lake Huron. Frequency of sea lamprey-induced wounding on steelhead (Oncorhynchus mykiss) and northern pike (Esox lucius) in Mullett Lake is less than 5%. Given increasing challenges of lampricide treatment, efforts to test other means of control such as sterile male release technique is on-going. The Cheboygan River represents a microcosm of the Great Lakes and is useful for learning about sea lamprey ecology and testing controls that supplement lampricides and barriers. Published by Elsevier B.V. on behalf of International Association for Great Lakes Research 2020. The contribution to this work by the United States Geological Survey (USGS) author was provided as part of the USGS authors official duties as an employee of the United States Government, and this contribution is a work of the United States Government. In accordance with 17 U.S.C. 105, no copyright protection is available for such works under U.S. Law and the CC BY license shall therefore not apply to the USGS authors contribution to the work. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/)."	USA	Fisheries
"The relationships between clam gardens and human settlement throughout the millennia reflects the inseparable links among human demographics, marine management systems, and the social-ecological contexts in which they are embedded. However, it can be difficult to assign causation between the initiation and development of eco-cultural innovations like clam gardens and the proliferation of human societies due to the temporal uncertainties associated with both. Here, we bring together data on the shape of the local relative sea level curve, clam garden wall elevation as determined by GIS and drone imagery, radiocarbon dates of clam garden walls, and ecological and archaeological field observations, to assign proxy ages for the clam garden walls of different tidal heights in Kanish and Waiatt Bay on northern Quadra Island, British Columbia, Canada. These data, combined with our mapping and dating of settlement sites, demonstrate a temporal relationship between clam garden building effort and the densification of human settlements. In Kanish Bay, where we have high resolution data, clam gardens begin to be constructed in significant numbers at least 3,800 years ago; this corresponds to a time of increased establishment of large human settlements. The corresponding increase in settlements and clam gardens reflects both the need to increase sustainable food production and the larger number of people who could sustain the ecological and social foundations of the production system. The correlation between number and area of clam gardens and the number of new, large settlements continues until & SIM;2000 years ago. After this time, existing settlements increase in size, but no additional large settlements were established. New clam gardens continue to be built but in seemingly lower numbers. This shift in settlements and clam gardens suggest that a threshold in social-ecological carrying capacity may have been reached in this land- and seascape. In the last few centuries, there is a dramatic decline in the number of clam gardens and evidence of human settlement, corresponding to social and ecological changes associated with European colonization. Taken together, these data demonstrate the strong linkages among Indigenous peoples, their lands and seas, and resilient food systems over the millennia."	NonUS	EthicsPolicy
"Biocides of antifouling agents can cause problems in marine ecosystems by damaging to non-target algal species. Aquatic bioassays are important means of assessing the quality of water containing mixtures of contaminants and of providing a safety standard for water management in an ecological context. In this study, a rapid, sensitive and inexpensive test method was developed using free-living male and female gametophytes of the brown macroalga Undaria pinnatifida. A conventional fluorometer was employed to evaluate the acute (48 h) toxic effects of six antifouling biocides: 4,5-Dichloro-2-octyl-isothiazolone (DCOIT), diuron, irgarol, medetomidine, tolylfluanid, zinc pyrithione (ZnPT). The decreasing toxicity in male and female gametophytes as estimated by EC50 (effective concentration at which 50% inhibition occurs) values was: diuron (0.037 and 0.128 mg l(-1), respectively) > irgarol (0.096 and 0.172 mg l(-1), respectively) > tolylfluanid (0.238 and 1.028 mg l(-1), respectively) > DCOIT (1.015 and 0.890 mg l(-1), respectively) > medetomidine (12.032 and 12.763 mg l(-1), respectively). For ZnPT, 50% fluorescence inhibition of U. pinnatifida gametophytes occurred at concentrations above 0.4 mg l(-1). The Undaria method is rapid, simple, practical, and cost-effective for the detection of photosynthesis-inhibiting biocides, thus making a useful tool for testing the toxicity of antifouling agents in marine environments."	NonUS	Ecology
"Interactions between corals and macroalgae are important in influencing benthic community structures on coral reefs and have become increasingly common occurrences. However, little is known about their temporal variation as most studies have only documented them from single surveys. To investigate the dynamics of coral-macroalgal interactions, we surveyed three urbanised reefs in Singapore bi-monthly for three years. We found that the frequency of coral-macroalgal interactions varied greatly across sites and seasons. The extent of coral-macroalgal contact was positively correlated with macroalgal abundance, but the correlation differed significantly among macroalgal genera. The growth rates of Goniopora, Montipora and Pavona corals, but not Platygra, were also negatively correlated with the extent of macroalgal interactions. Overall, our results highlight that coral-macroalgal interactions are spatially and temporally dynamic, with varying effects among coral species. It is critical to consider seasonal fluctuations of macroalgae if the overall long-term impacts of macroalgae are to be understood."	NonUS	Ecology
